latitude	PM2.5	NOx	PM10	C2H3NO5	CH4	longitude	Pb	TEMP	NH3	SO2	O3	CO	PAHs	H2CO	PRES	warning	CFCs
37.71715	8.47714	9.21522	9.38738	1.51791	7.84989	-122.40433	59.51096	20.05101	10.43604	5.81201	7.77502	9.69678	8.62090	47.64810	1139.12673	0.00000	74.87342
-1.26753	8.95287	8.04229	8.78120	0.86506	7.48764	116.82887	57.03798	20.34841	9.19522	8.62588	11.61089	4.92266	6.96953	42.66369	1144.57479	1.00000	70.13254
25.87498	11.41105	7.80172	6.67488	0.20478	8.32353	86.59611	78.98660	19.57588	5.00666	6.37696	11.20430	7.61260	7.88382	48.15920	1131.93163	1.00000	70.76611
53.0233	5.41284	9.53800	7.01510	0.13092	6.36073	-1.48119	60.70261	20.51904	8.38101	9.96460	6.31462	6.68230	9.13018	30.33567	1176.70245	0.00000	68.30109
-7.0981	5.59043	6.87675	6.19817	0.19487	6.55752	109.3243	79.16126	-1.60515	8.05129	9.76426	6.23701	4.50154	8.72864	49.04137	1058.87434	0.00000	70.50372
-0.35817	6.91056	6.76613	10.57920	4.65631	6.57000	42.54536	54.80587	3.27832	9.64108	9.68614	11.31083	7.97488	8.54959	34.31598	1078.05137	1.00000	81.84559
54.8421	7.71130	5.69791	6.62161	0.31441	8.76038	46.5813	56.18304	26.62230	6.12354	9.00772	6.49108	5.16936	8.29762	63.85236	1141.39521	0.00000	60.00696
35.06667	6.12436	8.91323	7.22547	0.20099	8.07930	135.21667	51.85305	25.15779	7.12933	9.74223	6.86654	7.43669	9.13872	44.42398	1134.95773	0.00000	56.50580
36.24624	9.58665	8.62080	5.98321	0.19721	9.49849	139.07204	52.94818	-3.77726	10.37273	6.82430	9.63619	9.12383	8.43552	51.37865	1051.35348	0.00000	66.83495
38.55632	9.43073	8.24180	6.27910	0.21852	7.68333	69.01354	56.28367	16.39549	6.85354	5.60172	10.50218	7.69758	6.56176	56.55268	1080.57376	1.00000	70.38248
27.9247	8.15623	9.06313	8.80110	0.93005	7.78866	78.40102	52.73295	7.09847	8.29781	10.08133	9.10866	8.81066	9.83263	35.35373	1182.52603	1.00000	63.46259
48.98693	7.37211	7.50138	10.61313	4.91533	7.44325	2.44892	56.68153	35.96437	11.70209	8.87187	8.13208	8.39887	10.29997	54.26080	1122.88478	1.00000	74.61625
-16.25	8.54511	8.38074	7.68057	0.37755	6.22178	-69.08333	33.88959	17.96792	4.36281	9.47065	9.04205	8.80098	8.58675	38.44803	1108.48650	1.00000	82.23430
-36.9256	8.29243	5.95561		0.63189	7.46324	-73.02841	44.79348	23.53241	6.11816	5.05847	10.99035	6.51166	7.90025	46.70613	1072.93421	1.00000	63.78043
33.92866	8.20149	6.40165	6.70228	0.30154	8.14853	-6.90656	71.78088	12.90157	7.67670	11.75315	8.35032	9.93968	8.65172	26.12138	1072.41898	1.00000	66.52154
40.53123	6.24749	8.45650	7.74311	0.37914	9.77907	17.58522	30.45106	18.87463	7.01335	10.65140	7.64561	8.62484	8.25668	49.34814	1089.13220	0.00000	68.44737
49.41029	8.53498	9.32431		0.41952	8.12574	38.15035	57.44521	23.17115	7.94342	11.39019	8.50750	8.94439	7.92724	38.13931	1189.57370	1.00000	68.07599
